home,away,score
Arsenal F.C.,Aston Villa F.C.,2-2
Arsenal F.C.,AFC Bournemouth,1-2
Arsenal F.C.,Brentford F.C.,1-1
Arsenal F.C.,Brighton & Hove Albion F.C.,1-1
Arsenal F.C.,Chelsea F.C.,1-0
Arsenal F.C.,Crystal Palace F.C.,2-2
Arsenal F.C.,Everton F.C.,0-0
Arsenal F.C.,Fulham F.C.,2-1
Arsenal F.C.,Ipswich Town F.C.,1-0
Arsenal F.C.,Leicester City F.C.,4-2
Arsenal F.C.,Liverpool F.C.,2-2
Arsenal F.C.,Manchester City F.C.,5-1
Arsenal F.C.,Manchester United F.C.,2-0
Arsenal F.C.,Newcastle United F.C.,1-0
Arsenal F.C.,Nottingham Forest F.C.,3-0
Arsenal F.C.,Southampton F.C.,3-1
Arsenal F.C.,Tottenham Hotspur F.C.,2-1
Arsenal F.C.,West Ham United F.C.,0-1
Arsenal F.C.,Wolverhampton Wanderers F.C.,2-0
Aston Villa F.C.,Arsenal F.C.,0-2
Aston Villa F.C.,AFC Bournemouth,1-1
Aston Villa F.C.,Brentford F.C.,3-1
Aston Villa F.C.,Brighton & Hove Albion F.C.,2-2
Aston Villa F.C.,Chelsea F.C.,2-1
Aston Villa F.C.,Crystal Palace F.C.,2-2
Aston Villa F.C.,Everton F.C.,3-2
Aston Villa F.C.,Fulham F.C.,1-0
Aston Villa F.C.,Ipswich Town F.C.,1-1
Aston Villa F.C.,Leicester City F.C.,2-1
Aston Villa F.C.,Liverpool F.C.,2-2
Aston Villa F.C.,Manchester City F.C.,2-1
Aston Villa F.C.,Manchester United F.C.,0-0
Aston Villa F.C.,Newcastle United F.C.,4-1
Aston Villa F.C.,Nottingham Forest F.C.,2-1
Aston Villa F.C.,Southampton F.C.,1-0
Aston Villa F.C.,Tottenham Hotspur F.C.,2-0
Aston Villa F.C.,West Ham United F.C.,1-1
Aston Villa F.C.,Wolverhampton Wanderers F.C.,3-1
AFC Bournemouth,Arsenal F.C.,2-0
AFC Bournemouth,Aston Villa F.C.,0-1
AFC Bournemouth,Brentford F.C.,1-2
AFC Bournemouth,Brighton & Hove Albion F.C.,1-2
